Date,ETR
2005-01-01,391
2005-01-02,392
2005-01-03,394
2005-01-04,396
2005-01-05,398
2005-01-06,401
2005-01-07,403
2005-01-08,405
2005-01-09,408
2005-01-10,411
2005-01-11,414
2005-01-12,417
2005-01-13,420
2005-01-14,423
2005-01-15,427
2005-01-16,431
2005-01-17,434
2005-01-18,398
2005-01-19,402
2005-01-20,405
2005-01-21,409
2005-01-22,413
2005-01-23,417
2005-01-24,421
2005-01-25,425
2005-01-26,430
2005-01-27,434
2005-01-28,439
2005-01-29,443
2005-01-30,448
2005-01-31,453
2005-02-01,457
2005-02-02,462
2005-02-03,467
2005-02-04,473
2005-02-05,478
2005-02-06,483
2005-02-07,488
2005-02-08,494
2005-02-09,457
2005-02-10,463
2005-02-11,467
2005-02-12,473
2005-02-13,478
2005-02-14,483
2005-02-15,489
2005-02-16,494
2005-02-17,499
2005-02-18,505
2005-02-19,510
2005-02-20,516
2005-02-21,521
2005-02-22,527
2005-02-23,532
2005-02-24,538
2005-02-25,544
2005-02-26,550
2005-02-27,555
2005-02-28,561
2005-03-01,567
2005-03-02,573
2005-03-03,578
2005-03-04,584
2005-03-05,590
2005-03-06,596
2005-03-07,602
2005-03-08,607
2005-03-09,613
2005-03-10,619
2005-03-11,625
2005-03-12,631
2005-03-13,636
2005-03-14,642
2005-03-15,648
2005-03-16,654
2005-03-17,659
2005-03-18,665
2005-03-19,671
2005-03-20,676
2005-03-21,682
2005-03-22,635
2005-03-23,640
2005-03-24,645
2005-03-25,650
2005-03-26,655
2005-03-27,660
2005-03-28,665
2005-03-29,670
2005-03-30,675
2005-03-31,680
2005-04-01,685
2005-04-02,689
2005-04-03,694
2005-04-04,699
2005-04-05,703
2005-04-06,708
2005-04-07,713
2005-04-08,717
2005-04-09,721
2005-04-10,726
2005-04-11,730
2005-04-12,735
2005-04-13,739
2005-04-14,743
2005-04-15,747
2005-04-16,751
2005-04-17,755
2005-04-18,759
2005-04-19,763
2005-04-20,767
2005-04-21,771
2005-04-22,774
2005-04-23,778
2005-04-24,782
2005-04-25,785
2005-04-26,789
2005-04-27,792
2005-04-28,795
2005-04-29,799
2005-04-30,802
2005-05-01,805
2005-05-02,808
2005-05-03,811
2005-05-04,814
2005-05-05,817
2005-05-06,820
2005-05-07,822
2005-05-08,825
2005-05-09,828
2005-05-10,830
2005-05-11,833
2005-05-12,835
2005-05-13,837
2005-05-14,840
2005-05-15,842
2005-05-16,844
2005-05-17,846
2005-05-18,848
2005-05-19,850
2005-05-20,852
2005-05-21,853
2005-05-22,855
2005-05-23,856
2005-05-24,858
2005-05-25,860
2005-05-26,861
2005-05-27,862
2005-05-28,864
2005-05-29,865
2005-05-30,866
2005-05-31,867
2005-06-01,868
2005-06-02,869
2005-06-03,870
2005-06-04,871
2005-06-05,872
2005-06-06,872
2005-06-07,873
2005-06-08,873
2005-06-09,874
2005-06-10,874
2005-06-11,875
2005-06-12,875
2005-06-13,875
2005-06-14,876
2005-06-15,876
2005-06-16,876
2005-06-17,876
2005-06-18,876
2005-06-19,876
2005-06-20,876
2005-06-21,875
2005-06-22,875
2005-06-23,875
2005-06-24,875
2005-06-25,874
2005-06-26,874
2005-06-27,873
2005-06-28,873
2005-06-29,872
2005-06-30,872
2005-07-01,871
2005-07-02,870
2005-07-03,869
2005-07-04,868
2005-07-05,867
2005-07-06,866
2005-07-07,865
2005-07-08,864
2005-07-09,863
2005-07-10,861
2005-07-11,860
2005-07-12,859
2005-07-13,857
2005-07-14,856
2005-07-15,854
2005-07-16,853
2005-07-17,851
2005-07-18,849
2005-07-19,847
2005-07-20,846
2005-07-21,844
2005-07-22,842
2005-07-23,840
2005-07-24,838
2005-07-25,836
2005-07-26,834
2005-07-27,831
2005-07-28,829
2005-07-29,827
2005-07-30,824
2005-07-31,822
2005-08-01,819
2005-08-02,817
2005-08-03,814
2005-08-04,811
2005-08-05,809
2005-08-06,806
2005-08-07,803
2005-08-08,800
2005-08-09,797
2005-08-10,794
2005-08-11,791
2005-08-12,788
2005-08-13,785
2005-08-14,781
2005-08-15,778
2005-08-16,775
2005-08-17,771
2005-08-18,768
2005-08-19,764
2005-08-20,761
2005-08-21,757
2005-08-22,753
2005-08-23,749
2005-08-24,746
2005-08-25,742
2005-08-26,738
2005-08-27,734
2005-08-28,730
2005-08-29,726
2005-08-30,722
2005-08-31,718
2005-09-01,714
2005-09-02,709
2005-09-03,705
2005-09-04,700
2005-09-05,696
2005-09-06,691
2005-09-07,687
2005-09-08,682
2005-09-09,678
2005-09-10,673
2005-09-11,668
2005-09-12,664
2005-09-13,659
2005-09-14,654
2005-09-15,649
2005-09-16,644
2005-09-17,639
2005-09-18,634
2005-09-19,629
2005-09-20,624
2005-09-21,619
2005-09-22,614
2005-09-23,609
2005-09-24,604
2005-09-25,599
2005-09-26,593
2005-09-27,588
2005-09-28,583
2005-09-29,578
2005-09-30,573
2005-10-01,568
2005-10-02,562
2005-10-03,557
2005-10-04,552
2005-10-05,593
2005-10-06,587
2005-10-07,581
2005-10-08,576
2005-10-09,570
2005-10-10,565
2005-10-11,559
2005-10-12,553
2005-10-13,548
2005-10-14,542
2005-10-15,537
2005-10-16,532
2005-10-17,526
2005-10-18,521
2005-10-19,515
2005-10-20,510
2005-10-21,505
2005-10-22,499
2005-10-23,494
2005-10-24,489
2005-10-25,484
2005-10-26,479
2005-10-27,474
2005-10-28,511
2005-10-29,506
2005-10-30,500
2005-10-31,495
2005-11-01,490
2005-11-02,484
2005-11-03,479
2005-11-04,474
2005-11-05,469
2005-11-06,464
2005-11-07,460
2005-11-08,455
2005-11-09,450
2005-11-10,446
2005-11-11,441
2005-11-12,437
2005-11-13,432
2005-11-14,428
2005-11-15,424
2005-11-16,420
2005-11-17,416
2005-11-18,412
2005-11-19,408
2005-11-20,404
2005-11-21,401
2005-11-22,397
2005-11-23,394
2005-11-24,391
2005-11-25,387
2005-11-26,384
2005-11-27,381
2005-11-28,378
2005-11-29,413
2005-11-30,411
2005-12-01,408
2005-12-02,405
2005-12-03,403
2005-12-04,400
2005-12-05,398
2005-12-06,396
2005-12-07,394
2005-12-08,392
2005-12-09,390
2005-12-10,389
2005-12-11,387
2005-12-12,386
2005-12-13,385
2005-12-14,384
2005-12-15,383
2005-12-16,382
2005-12-17,382
2005-12-18,381
2005-12-19,381
2005-12-20,381
2005-12-21,381
2005-12-22,381
2005-12-23,381
2005-12-24,382
2005-12-25,382
