Date,ETR
2005-01-01,375
2005-01-02,377
2005-01-03,379
2005-01-04,381
2005-01-05,383
2005-01-06,385
2005-01-07,388
2005-01-08,390
2005-01-09,393
2005-01-10,396
2005-01-11,399
2005-01-12,402
2005-01-13,404
2005-01-14,408
2005-01-15,412
2005-01-16,415
2005-01-17,419
2005-01-18,423
2005-01-19,427
2005-01-20,431
2005-01-21,435
2005-01-22,399
2005-01-23,403
2005-01-24,407
2005-01-25,412
2005-01-26,416
2005-01-27,420
2005-01-28,425
2005-01-29,429
2005-01-30,434
2005-01-31,439
2005-02-01,444
2005-02-02,448
2005-02-03,454
2005-02-04,459
2005-02-05,464
2005-02-06,469
2005-02-07,475
2005-02-08,480
2005-02-09,445
2005-02-10,450
2005-02-11,455
2005-02-12,461
2005-02-13,466
2005-02-14,471
2005-02-15,476
2005-02-16,482
2005-02-17,487
2005-02-18,493
2005-02-19,498
2005-02-20,504
2005-02-21,510
2005-02-22,515
2005-02-23,521
2005-02-24,527
2005-02-25,532
2005-02-26,538
2005-02-27,544
2005-02-28,550
2005-03-01,556
2005-03-02,561
2005-03-03,567
2005-03-04,573
2005-03-05,579
2005-03-06,585
2005-03-07,591
2005-03-08,597
2005-03-09,603
2005-03-10,609
2005-03-11,615
2005-03-12,620
2005-03-13,626
2005-03-14,632
2005-03-15,638
2005-03-16,644
2005-03-17,650
2005-03-18,656
2005-03-19,661
2005-03-20,667
2005-03-21,621
2005-03-22,627
2005-03-23,632
2005-03-24,637
2005-03-25,642
2005-03-26,647
2005-03-27,653
2005-03-28,658
2005-03-29,663
2005-03-30,668
2005-03-31,673
2005-04-01,678
2005-04-02,683
2005-04-03,687
2005-04-04,692
2005-04-05,697
2005-04-06,702
2005-04-07,706
2005-04-08,711
2005-04-09,715
2005-04-10,720
2005-04-11,725
2005-04-12,729
2005-04-13,733
2005-04-14,738
2005-04-15,742
2005-04-16,746
2005-04-17,750
2005-04-18,754
2005-04-19,759
2005-04-20,762
2005-04-21,766
2005-04-22,770
2005-04-23,774
2005-04-24,777
2005-04-25,781
2005-04-26,785
2005-04-27,788
2005-04-28,792
2005-04-29,795
2005-04-30,799
2005-05-01,802
2005-05-02,805
2005-05-03,808
2005-05-04,811
2005-05-05,814
2005-05-06,817
2005-05-07,820
2005-05-08,822
2005-05-09,825
2005-05-10,828
2005-05-11,830
2005-05-12,833
2005-05-13,835
2005-05-14,838
2005-05-15,840
2005-05-16,842
2005-05-17,844
2005-05-18,846
2005-05-19,848
2005-05-20,850
2005-05-21,852
2005-05-22,853
2005-05-23,855
2005-05-24,857
2005-05-25,858
2005-05-26,860
2005-05-27,861
2005-05-28,863
2005-05-29,864
