Location,Date,Zenith_Angle,Azimuth_Angle,ETR,ETRN,SUNY_Glo,SUNY_Dir,Wind_Speed,Precipitation,Snow,Avg_Temp,Max_Temp,Min_Temp,WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
DENVER,2005-01-01,73.59,179.54,391,1325,271,703,9.4,0,0,32,43,20,160,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENVER,2005-01-02,73.53,179.44,392,1328,169,220,5.59,0,0,27,33,20,170,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENVER,2005-01-03,73.43,179.36,394,1328,252,562,4.92,0,0,30,41,18,60,13,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
DENVER,2005-01-04,73.38,179.27,396,1330,67,9,8.5,0.02,0,16,26,5,20,17.9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DENVER,2005-01-05,73.28,179.19,398,1333,224,467,4.7,0.1,0,2,6,-3,210,10.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DENVER,2005-01-06,73.18,179.1,401,1335,210,393,8.05,0,0,21,40,1,310,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENVER,2005-01-07,73.08,179.02,403,1337,301,783,10.96,0,0,17,28,6,110,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENVER,2005-01-08,72.94,178.93,405,1340,272,645,10.51,0,0,30,50,10,240,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENVER,2005-01-09,72.86,178.85,408,1342,298,785,11.41,0,0,46,60,31,250,34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENVER,2005-01-10,72.74,178.76,411,1344,302,765,6.26,0,0,31,40,22,170,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
DENVER,2005-01-11,72.62,178.68,414,1348,305,771,5.37,0,0,32,36,27,130,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
DENVER,2005-01-12,72.49,178.61,417,1350,299,721,9.17,0.06,0,22,30,14,350,25.9,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1
DENVER,2005-01-13,72.35,178.53,420,1353,240,369,10.74,0,0,23,40,6,280,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DENVER,2005-01-14,72.2,178.48,423,1355,226,385,8.05,0,0,22,42,2,70,17.9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
DENVER,2005-01-15,72.07,178.39,427,1362,288,650,4.7,0,0,26,41,10,20,16.1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
DENVER,2005-01-16,71.92,178.32,431,1364,163,83,6.49,0,0,22,36,7,180,12.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DENVER,2005-01-17,71.75,178.23,434,1369,327,808,6.71,0,0,32,46,17,210,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENVER,2005-01-18,73.25,184.11,398,1246,164,236,10.74,0,0,44,60,28,210,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
