Location,Date,Zenith_Angle,Azimuth_Angle,ETR,ETRN,SUNY_Glo,SUNY_Dir,Wind_Speed,Precipitation,Snow,Avg_Temp,Max_Temp,Min_Temp,WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
LOS ANGELES,2005-01-01,69.29,180.51,492,1401,199,192,3.8,0,0,51,57,45,110,8.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-02,69.21,180.44,494,1403,93,34,6.93,0.65,0,52,56,48,60,16.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-03,69.15,180.33,495,1406,174,100,7.83,0.82,0,53,57,48,290,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-04,69.06,180.24,498,1406,187,117,5.82,0.04,0,50,54,46,230,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-05,68.96,180.16,500,1408,271,319,6.04,0,0,51,58,43,240,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-06,68.86,180.07,502,1408,282,359,6.49,0,0,50,57,43,260,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-07,68.77,180,504,1410,72,0,10.96,1.33,0,53,59,47,80,25.9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-08,70.61,185.67,460,1284,61,3,9.4,0.58,0,58,60,56,180,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-09,70.5,185.61,463,1288,62,0,10.74,1.59,0,61,64,58,170,19.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-10,70.37,185.55,465,1288,242,280,12.3,1.37,0,61,62,59,200,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-11,70.25,185.47,468,1290,300,451,20.58,0.22,0,56,60,51,260,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LOS ANGELES,2005-01-12,70.14,185.42,471,1292,133,54,5.82,0,0,54,62,45,240,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-13,69.99,185.37,474,1294,325,576,6.04,0,0,54,62,45,270,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-14,69.85,185.31,476,1296,280,330,4.7,0,0,58,68,48,260,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-15,69.7,185.24,479,1298,83,4,3.8,0,0,58,70,45,260,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-16,71.27,179.33,442,1194,291,468,4.7,0,0,66,80,52,270,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-17,71.12,179.28,445,1196,290,436,5.14,0,0,63,77,49,250,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-18,70.97,179.21,448,1197,281,410,5.59,0,0,68,82,53,350,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-19,70.83,179.16,452,1201,309,531,5.37,0,0,70,85,55,20,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-20,70.68,179.1,455,1203,255,268,6.71,0,0,65,73,57,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-21,70.5,179.03,458,1205,291,407,6.26,0,0,60,68,52,240,13,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
LOS ANGELES,2005-01-22,70.33,178.99,461,1208,278,316,4.7,0,0,57,62,52,260,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
