Location,Date,Zenith_Angle,Azimuth_Angle,ETR,ETRN,SUNY_Glo,SUNY_Dir,Wind_Speed,Precipitation,Snow,Avg_Temp,Max_Temp,Min_Temp,WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MIAMI,2005-01-01,65.33,180.96,571,1353,330,489,12.08,0,0,72,78,66,90,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIAMI,2005-01-02,65.26,180.89,572,1355,269,239,9.84,0.03,0,70,77,63,80,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIAMI,2005-01-03,65.2,180.79,574,1355,340,448,10.74,0,0,72,77,67,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIAMI,2005-01-04,65.12,180.7,576,1355,285,270,9.4,0,0,74,79,68,100,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIAMI,2005-01-05,65.04,180.63,577,1357,229,225,11.18,0,0,74,80,68,90,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAMI,2005-01-06,64.96,180.55,579,1359,363,536,9.62,0,0,76,80,71,120,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAMI,2005-01-07,64.87,180.46,581,1359,378,561,8.5,0,0,75,80,69,120,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAMI,2005-01-08,64.78,180.38,583,1361,306,388,8.05,0,0,74,80,68,90,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAMI,2005-01-09,64.67,180.31,585,1363,280,272,7.38,0,0,73,80,66,90,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIAMI,2005-01-10,64.58,180.22,587,1366,358,484,7.61,0,0,73,79,66,90,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAMI,2005-01-11,64.46,180.14,590,1365,329,412,10.96,0,0,73,80,65,100,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAMI,2005-01-12,64.35,180.09,592,1367,223,151,12.97,0,0,74,80,68,100,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
