Location,Date,Zenith_Angle,Azimuth_Angle,ETR,ETRN,SUNY_Glo,SUNY_Dir,Wind_Speed,Precipitation,Snow,Avg_Temp,Max_Temp,Min_Temp,WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
NEWARK,2005-01-01,74.24,179.89,375,1311,242,508,11.41,0,0,49,62,36,330,21,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NEWARK,2005-01-02,74.16,179.83,377,1314,119,94,4.7,0,0,38,46,30,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-03,74.1,179.73,379,1316,91,35,6.71,0.26,0,51,57,45,240,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NEWARK,2005-01-04,74.01,179.64,381,1318,90,37,7.61,0.08,0,47,50,44,20,16.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NEWARK,2005-01-05,73.93,179.54,383,1321,57,0,11.41,0.26,0.1,39,45,32,40,16.1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0
NEWARK,2005-01-06,73.83,179.48,385,1323,69,80,9.4,0.58,0,36,38,33,60,17,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
NEWARK,2005-01-07,73.73,179.38,388,1325,265,605,10.96,0,0,37,40,34,290,25.1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NEWARK,2005-01-08,73.62,179.29,390,1328,78,74,7.16,0.53,0,37,40,33,330,17.9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NEWARK,2005-01-09,73.5,179.22,393,1330,269,611,6.93,0,0,35,38,32,340,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-10,73.4,179.12,396,1335,131,134,11.18,0,0,43,49,36,330,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-11,73.28,179.07,399,1336,258,528,6.71,0.23,0,36,38,34,80,14.1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
NEWARK,2005-01-12,73.14,178.99,402,1339,275,617,9.17,0.08,0,38,40,36,30,14.1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
NEWARK,2005-01-13,72.99,178.91,404,1341,228,405,5.14,0,0,50,62,37,200,17.9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
NEWARK,2005-01-14,72.87,178.82,408,1346,280,623,17.22,1.13,0,50,67,33,270,36,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
NEWARK,2005-01-15,72.71,178.77,412,1348,262,505,5.82,0,0,29,33,24,350,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-16,72.56,178.7,415,1353,286,630,11.86,0,0,28,31,25,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-17,72.4,178.62,419,1355,261,483,14.76,0.02,0.5,23,28,18,340,21.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NEWARK,2005-01-18,72.27,178.54,423,1361,275,528,15.21,0.01,0.2,13,17,8,320,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NEWARK,2005-01-19,72.08,178.51,427,1364,110,45,7.38,0.05,0.9,16,24,8,260,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NEWARK,2005-01-20,71.91,178.42,431,1368,197,168,13.87,0,0,25,30,19,320,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NEWARK,2005-01-21,71.74,178.38,435,1371,298,640,14.99,0,0,14,20,8,340,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-22,73.22,184.29,399,1249,75,25,12.75,0.47,8.9,14,23,4,20,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
NEWARK,2005-01-23,73.04,184.26,403,1256,128,65,21.03,0.22,4.5,16,24,7,10,36,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
NEWARK,2005-01-24,72.85,184.24,407,1260,138,55,13.87,0,0.1,14,21,7,250,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NEWARK,2005-01-25,72.65,184.2,412,1261,192,174,8.95,0,0,26,34,17,280,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NEWARK,2005-01-26,72.45,184.17,416,1266,69,3,10.29,0.01,0.1,27,36,17,20,25.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NEWARK,2005-01-27,72.25,184.14,420,1270,265,493,17,0,0,14,19,8,360,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-28,72.05,184.13,425,1275,240,351,9.84,0,0,13,23,3,10,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-29,71.84,184.08,429,1280,259,436,5.59,0,0,22,32,11,250,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWARK,2005-01-30,71.65,184.08,434,1284,192,165,10.29,0,0.1,30,37,23,30,21.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
