Location,Date,Zenith_Angle,Azimuth_Angle,ETR,ETRN,SUNY_Glo,SUNY_Dir,Wind_Speed,Precipitation,Snow,Avg_Temp,Max_Temp,Min_Temp,WDF2,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
SAN ANTONIO,2005-01-01,67.94,178.56,515,1319,175,133,10.29,0.02,0,69,76,61,150,17,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-02,67.85,178.46,516,1319,104,28,11.41,0.17,0,70,73,67,130,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-03,67.78,178.36,518,1321,165,99,11.41,0.23,0,72,76,68,140,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-04,67.73,178.28,520,1323,181,123,14.09,0,0,73,78,67,170,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-05,67.64,178.2,522,1325,78,0,12.3,0,0,59,72,45,10,21,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-06,67.54,178.11,524,1323,112,9,11.18,0,0,41,45,37,20,19.9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-07,67.45,178.02,526,1325,262,338,2.46,0.02,0,51,64,37,160,8.9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-08,67.35,177.94,528,1327,369,638,5.82,0,0,52,64,39,110,12.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SAN ANTONIO,2005-01-09,67.26,177.86,530,1329,115,3,3.8,0,0,63,69,57,160,8.9,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-10,67.15,177.77,532,1331,375,671,9.62,0,0,69,74,63,160,16.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-11,67.04,177.69,535,1331,329,414,9.4,0,0,71,79,63,160,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-12,66.93,177.62,537,1333,331,411,11.41,0.04,0,68,74,62,170,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-13,66.82,177.53,540,1335,78,0,12.3,0,0,51,63,38,330,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-14,66.69,177.45,543,1337,104,13,5.14,0,0,47,59,35,60,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-15,66.56,177.38,546,1341,70,0,4.7,0,0,48,59,37,40,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-16,66.42,177.31,548,1343,395,748,8.72,0,0,44,54,34,360,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-17,66.27,177.23,552,1343,384,619,6.93,0,0,43,56,29,90,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-18,66.13,177.16,555,1345,180,59,7.38,0,0,50,55,44,100,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-19,65.97,177.11,558,1347,231,158,4.25,0,0,57,65,48,220,14.1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-20,65.82,177.04,561,1350,368,561,6.49,0,0,62,73,50,240,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-21,65.67,176.98,565,1350,337,451,4.7,0,0,62,76,48,190,12.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-22,65.5,176.9,568,1349,292,267,11.63,0,0,58,70,45,20,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-23,65.34,176.85,572,1351,392,625,9.4,0,0,41,51,31,20,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-24,65.15,176.79,576,1351,405,652,5.59,0,0,48,61,34,210,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-25,64.95,176.74,579,1350,418,762,7.61,0,0,61,78,44,200,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-26,64.76,176.66,583,1352,333,387,5.37,0,0,63,79,46,40,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-01-27,64.57,176.61,587,1352,88,0,8.72,1.57,0,54,62,46,300,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-28,64.38,176.55,591,1353,222,191,5.82,0.08,0,51,59,42,310,19.9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-29,64.18,176.5,595,1353,107,6,5.59,0,0,51,56,45,60,14.1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-30,63.99,176.45,599,1356,95,5,9.84,0.05,0,47,49,45,30,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-01-31,63.77,176.42,603,1355,84,0,14.09,0,0,44,45,43,20,25.1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-01,63.57,176.35,607,1357,103,51,11.18,0.67,0,43,45,41,10,19.9,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-02,63.34,176.32,612,1358,175,52,8.95,0,0,44,49,38,340,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-03,63.14,176.25,616,1358,194,57,4.03,0,0,44,53,35,20,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-04,62.92,176.25,620,1360,185,21,3.36,0,0,46,54,37,120,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-05,62.69,176.23,625,1359,196,121,7.16,0,0,51,56,45,130,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-06,62.45,176.16,629,1361,156,57,6.04,0.22,0,60,65,54,120,14.1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-07,62.23,176.15,633,1362,136,42,5.82,0.3,0,59,64,53,80,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-08,62,176.12,638,1364,95,0,5.14,0.01,0,57,59,54,80,8.9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-09,61.78,176.1,643,1364,125,35,9.62,0,0,52,58,45,30,21,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-10,61.55,176.07,647,1366,283,162,7.83,0,0,51,59,42,90,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-11,61.29,176.05,652,1367,129,4,4.25,0,0,52,56,48,150,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-12,61.05,176.03,657,1369,100,0,5.59,0.06,0,57,63,50,160,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-13,60.82,176.02,661,1370,435,570,8.5,0.01,0,66,79,53,270,21.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-14,60.55,176.01,666,1370,479,755,5.82,0,0,64,81,47,120,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-15,60.33,176.01,671,1371,431,533,5.59,0,0,65,81,48,180,14.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-16,60.05,176,676,1372,448,570,8.95,0,0,65,73,57,20,17.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-17,59.81,176,680,1374,141,22,11.63,0,0,55,59,51,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-18,59.55,175.98,685,1376,133,95,7.83,0,0,53,56,49,70,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-19,59.3,175.99,690,1378,108,27,4.7,0.08,0,59,65,52,150,15,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-20,59.04,175.99,695,1379,134,10,7.16,0,0,65,71,58,220,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-21,58.78,175.99,700,1380,381,304,4.25,0,0,66,76,55,150,14.1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-22,58.51,176.01,705,1382,286,135,6.93,0,0,70,75,64,130,15,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-23,58.25,176.03,709,1383,222,177,7.38,0.01,0,71,76,65,160,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-24,57.99,176.04,714,1384,213,83,15.21,0.37,0,58,67,48,330,28,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-25,57.73,176.05,719,1386,149,32,7.61,0,0,51,56,45,30,14.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-26,57.45,176.06,724,1388,110,0,6.26,0.69,0,49,51,46,40,12.1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-02-27,57.18,176.1,729,1389,528,731,6.04,0,0,55,69,41,220,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-02-28,56.92,176.11,734,1391,535,737,5.82,0,0,57,69,45,20,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-01,56.65,176.13,739,1392,498,592,8.5,0,0,58,73,42,130,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-02,59.16,169.63,682,1277,97,0,7.16,0.17,0,55,60,49,360,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-03,58.9,169.63,686,1279,412,367,6.71,0,0,59,69,49,120,14.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-04,58.63,169.63,691,1280,166,28,6.49,0,0,58,65,50,120,14.1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-05,58.37,169.63,695,1281,163,14,7.61,0.67,0,62,69,54,180,16.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-06,58.12,169.66,700,1282,100,10,6.71,0.25,0,59,61,56,70,16.1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-07,57.83,169.66,704,1286,442,472,8.05,0.09,0,70,81,59,320,21.9,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-08,57.57,169.66,709,1287,404,377,7.38,0,0,58,67,48,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-09,57.29,169.69,713,1288,506,625,9.17,0,0,61,75,47,10,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-10,57.03,169.7,717,1289,471,479,6.93,0,0,60,77,42,220,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-11,56.75,169.72,722,1291,510,637,7.38,0,0,63,76,50,40,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-12,56.48,169.73,726,1292,533,703,10.29,0,0,63,80,45,230,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-13,56.22,169.74,730,1295,518,648,11.41,0,0,72,89,55,340,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-14,55.96,169.77,734,1296,499,558,10.74,0,0,57,68,46,20,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-15,55.67,169.79,739,1298,142,3,10.96,0.02,0,53,58,48,30,21,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-16,55.41,169.81,743,1299,200,91,11.86,0.43,0,48,56,39,340,21.9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-17,55.16,169.84,747,1300,546,684,6.93,0,0,49,65,33,200,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-18,54.87,169.87,751,1301,522,610,9.84,0,0,60,76,43,210,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-19,54.63,169.88,755,1303,324,153,5.59,0,0,65,75,54,10,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-20,54.34,169.92,759,1305,444,339,6.71,0,0,65,78,51,150,17.9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-21,54.08,169.96,763,1306,416,343,9.4,0.02,0,69,81,56,160,17.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-22,53.83,169.99,767,1307,565,716,9.84,0,0,65,79,50,280,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-23,53.54,170.03,771,1308,567,718,9.17,0,0,59,76,41,150,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-24,53.33,170.03,775,1311,483,459,7.83,0,0,66,80,52,160,16.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SAN ANTONIO,2005-03-25,53.06,170.09,779,1313,509,500,5.59,0,0,72,82,62,160,19.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-26,52.8,170.11,783,1314,187,54,11.63,0.34,0,59,68,50,340,29.1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-27,52.53,170.14,787,1315,552,624,13.2,0.01,0,56,67,44,330,23.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAN ANTONIO,2005-03-28,52.29,170.19,790,1316,580,711,8.95,0,0,57,76,38,160,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-29,52.03,170.23,794,1319,298,86,11.41,0,0,65,77,53,180,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-30,51.76,170.27,798,1321,577,646,4.25,0,0,76,88,63,150,14.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-03-31,51.53,170.3,801,1322,586,695,6.93,0,0,71,85,56,20,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-04-01,51.28,170.33,805,1322,568,637,15.88,0,0,58,71,44,340,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-04-02,51.03,170.37,808,1323,569,605,6.49,0,0,56,73,38,120,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-04-03,50.79,170.4,812,1324,582,652,10.29,0,0,58,75,40,150,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-04-04,50.55,170.43,815,1328,339,118,11.41,0,0,67,77,56,150,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-04-05,50.3,170.46,819,1329,329,258,10.07,0,0,73,83,63,320,19.9,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
SAN ANTONIO,2005-04-06,50.08,170.51,822,1330,585,665,10.74,0,0,68,81,54,320,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN ANTONIO,2005-04-07,49.83,170.56,825,1331,597,683,12.3,0,0,69,82,55,340,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
