DATE,ETR
2005-01-01,261
2005-01-02,262
2005-01-03,264
2005-01-04,266
2005-01-05,268
2005-01-06,270
2005-01-07,273
2005-01-08,275
2005-01-09,278
2005-01-10,281
2005-01-11,284
2005-01-12,287
2005-01-13,290
2005-01-14,293
2005-01-15,297
2005-01-16,300
2005-01-17,304
2005-01-18,308
2005-01-19,312
2005-01-20,316
2005-01-21,320
2005-01-22,325
2005-01-23,329
2005-01-24,334
2005-01-25,338
2005-01-26,312
2005-01-27,317
2005-01-28,321
2005-01-29,326
2005-01-30,331
2005-01-31,336
2005-02-01,341
2005-02-02,346
2005-02-03,351
2005-02-04,356
2005-02-05,362
2005-02-06,367
2005-02-07,373
2005-02-08,379
2005-02-09,384
2005-02-10,390
2005-02-11,396
2005-02-12,402
2005-02-13,408
2005-02-14,414
2005-02-15,421
2005-02-16,427
2005-02-17,433
2005-02-18,440
2005-02-19,446
2005-02-20,453
2005-02-21,459
2005-02-22,466
2005-02-23,473
2005-02-24,480
2005-02-25,446
2005-02-26,452
2005-02-27,459
2005-02-28,465
2005-03-01,471
2005-03-02,478
2005-03-03,484
2005-03-04,491
2005-03-05,497
2005-03-06,504
2005-03-07,510
2005-03-08,517
2005-03-09,524
2005-03-10,530
2005-03-11,537
2005-03-12,543
2005-03-13,550
2005-03-14,556
2005-03-15,563
2005-03-16,569
2005-03-17,576
2005-03-18,583
2005-03-19,589
2005-03-20,596
2005-03-21,602
2005-03-22,609
2005-03-23,615
2005-03-24,622
2005-03-25,628
2005-03-26,634
2005-03-27,591
2005-03-28,597
2005-03-29,603
2005-03-30,609
2005-03-31,614
2005-04-01,620
2005-04-02,626
2005-04-03,631
2005-04-04,637
2005-04-05,643
2005-04-06,648
2005-04-07,654
2005-04-08,659
2005-04-09,664
2005-04-10,670
2005-04-11,675
2005-04-12,680
2005-04-13,685
2005-04-14,690
2005-04-15,695
2005-04-16,700
2005-04-17,705
2005-04-18,710
2005-04-19,715
2005-04-20,720
2005-04-21,724
2005-04-22,729
2005-04-23,733
2005-04-24,738
2005-04-25,742
2005-04-26,747
2005-04-27,751
2005-04-28,755
2005-04-29,759
2005-04-30,763
2005-05-01,767
2005-05-02,771
2005-05-03,775
2005-05-04,778
2005-05-05,782
2005-05-06,786
2005-05-07,789
2005-05-08,792
2005-05-09,796
2005-05-10,799
2005-05-11,802
2005-05-12,805
2005-05-13,808
2005-05-14,811
2005-05-15,813
2005-05-16,816
2005-05-17,819
2005-05-18,821
2005-05-19,824
2005-05-20,826
2005-05-21,828
2005-05-22,830
2005-05-23,833
2005-05-24,835
2005-05-25,836
2005-05-26,838
2005-05-27,840
2005-05-28,842
2005-05-29,843
2005-05-30,845
2005-05-31,846
2005-06-01,848
2005-06-02,849
2005-06-03,850
2005-06-04,851
2005-06-05,852
2005-06-06,853
2005-06-07,854
2005-06-08,855
2005-06-09,856
2005-06-10,856
2005-06-11,857
2005-06-12,857
2005-06-13,858
2005-06-14,858
2005-06-15,858
2005-06-16,859
2005-06-17,859
2005-06-18,859
2005-06-19,859
2005-06-20,859
2005-06-21,858
2005-06-22,858
2005-06-23,858
2005-06-24,857
2005-06-25,857
2005-06-26,856
2005-06-27,856
2005-06-28,855
2005-06-29,854
2005-06-30,853
2005-07-01,852
2005-07-02,851
2005-07-03,850
2005-07-04,849
2005-07-05,848
2005-07-06,846
2005-07-07,845
2005-07-08,844
2005-07-09,842
2005-07-10,841
2005-07-11,839
2005-07-12,837
2005-07-13,835
2005-07-14,833
2005-07-15,832
2005-07-16,830
2005-07-17,827
2005-07-18,825
2005-07-19,823
2005-07-20,821
2005-07-21,818
2005-07-22,816
2005-07-23,813
2005-07-24,811
2005-07-25,808
2005-07-26,805
2005-07-27,803
2005-07-28,800
2005-07-29,797
2005-07-30,794
2005-07-31,790
2005-08-01,787
2005-08-02,784
2005-08-03,781
2005-08-04,778
2005-08-05,774
2005-08-06,771
2005-08-07,767
2005-08-08,763
2005-08-09,760
2005-08-10,756
2005-08-11,752
2005-08-12,748
2005-08-13,744
2005-08-14,740
2005-08-15,736
2005-08-16,732
2005-08-17,727
2005-08-18,723
2005-08-19,719
2005-08-20,714
2005-08-21,710
2005-08-22,705
2005-08-23,701
2005-08-24,696
2005-08-25,691
2005-08-26,687
2005-08-27,682
2005-08-28,677
2005-08-29,672
2005-08-30,667
2005-08-31,662
2005-09-01,657
2005-09-02,652
2005-09-03,647
2005-09-04,642
2005-09-05,636
2005-09-06,631
2005-09-07,626
2005-09-08,620
2005-09-09,615
2005-09-10,609
2005-09-11,604
2005-09-12,598
2005-09-13,593
2005-09-14,587
2005-09-15,581
2005-09-16,576
2005-09-17,570
2005-09-18,564
2005-09-19,558
2005-09-20,553
2005-09-21,546
2005-09-22,541
2005-09-23,535
2005-09-24,573
2005-09-25,566
2005-09-26,560
2005-09-27,554
2005-09-28,547
2005-09-29,541
2005-09-30,534
2005-10-01,528
2005-10-02,521
2005-10-03,515
2005-10-04,509
2005-10-05,502
2005-10-06,496
2005-10-07,490
2005-10-08,483
2005-10-09,477
2005-10-10,471
2005-10-11,464
2005-10-12,458
2005-10-13,452
2005-10-14,446
2005-10-15,440
2005-10-16,434
2005-10-17,428
2005-10-18,422
2005-10-19,416
2005-10-20,410
2005-10-21,404
2005-10-22,398
2005-10-23,393
2005-10-24,387
2005-10-25,382
2005-10-26,410
2005-10-27,404
2005-10-28,398
2005-10-29,393
2005-10-30,387
2005-10-31,381
2005-11-01,376
2005-11-02,370
2005-11-03,365
2005-11-04,359
2005-11-05,390
2005-11-06,384
2005-11-07,378
2005-11-08,373
2005-11-09,367
2005-11-10,362
2005-11-11,357
2005-11-12,352
2005-11-13,347
2005-11-14,342
2005-11-15,337
2005-11-16,333
2005-11-17,328
2005-11-18,324
2005-11-19,320
2005-11-20,315
2005-11-21,311
2005-11-22,307
2005-11-23,304
2005-11-24,300
2005-11-25,296
2005-11-26,293
2005-11-27,290
2005-11-28,287
2005-11-29,284
2005-11-30,281
2005-12-01,278
2005-12-02,275
2005-12-03,273
2005-12-04,270
2005-12-05,268
2005-12-06,266
2005-12-07,264
